source_table,cooperation_code,project_no,channel_code,pay_config_code,query_key,transaction_mode,config_values
asset.channel_pay_config,HZF000036,DEF,ALLINPAY,A-036,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-036
query_key=DEF
member_id=553290060120MZE
terminal_id=00221664
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.channel_pay_config,HZF000036,DEF,ALLINPAY,A-036-BIND,BIND,AGREEMENT_PAYMENT,"pay_config_code=A-036-BIND
query_key=BIND
member_id=553290060120MZE
terminal_id=00221664
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.mer_channel_config,HZF000036,REMIT,ALLINPAY,,HZF000036|ALLINPAY|REMIT,REMIT,"mer_id=HZF000036
channel_code=ALLINPAY
channel_name=通联代付(即科)
product_type=REMIT
channel_mer_id=200310100000561
channel_acq_id=20031010000056104
pub_key=
pub_path=/mnt/server/amp-payment/cert/allinpay-pds.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/200120100000021.p12
cert_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://tlt.allinpay.com/aipg/ProcessServlet?MERCHANT_ID={0}&REQ_SN={1}
notify_url=https://amp-cb-unionpay.xxingtong.com/allinpay/onePaidNotify"
asset.channel_pay_config,HZF000036,XXT-PRJ-JK-C,ALLINPAY,A-036-C,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-036-C
query_key=DEF
member_id=553290060120MZE
terminal_id=00221664
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.channel_pay_config,HZF000036,XXT-PRJ-JK-D,ALLINPAY,A-036-D,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-036-D
query_key=DEF
member_id=660451060123W2W
terminal_id=00366422
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.channel_pay_config,HZF000036,XXT-PRJ-JK-E,ALLINPAY,A-036-E,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-036-E
query_key=DEF
member_id=553290060120MZE
terminal_id=00221664
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.mer_channel_config,HZF000036,REMIT,BCM,,HZF000036|BCM|REMIT,REMIT,"mer_id=HZF000036
channel_code=BCM
channel_name=交行-即科
product_type=REMIT
channel_mer_id=0008232869
channel_acq_id=
pub_key=
pub_path=
pri_key=
pri_path=
cert_pwd=
trans_key=
channel_url=http://172.16.143.219:5166
notify_url=https://amp-cb-unionpay.xxingtong.com/bcm/onePaidNotify"
asset.channel_pay_config,HZF000038,DEF,ALLINPAY,A-038,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-038
query_key=DEF
member_id=6605810601219M7
terminal_id=00279362
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify/qmqb
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.channel_pay_config,HZF000038,DEF,ALLINPAY,A-038-BIND,BIND,AGREEMENT_PAYMENT,"pay_config_code=A-038-BIND
query_key=BIND
member_id=660451060120EPW
terminal_id=00255143
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.mer_channel_config,HZF000038,REMIT,ALLINPAY,,HZF000038|ALLINPAY|REMIT,REMIT,"mer_id=HZF000038
channel_code=ALLINPAY
channel_name=通联代付(全民)
product_type=REMIT
channel_mer_id=660451060120EPS
channel_acq_id=660451060120EPS04
pub_key=
pub_path=/mnt/server/amp-payment/cert/allinpay-pds.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/660451060120EPS.p12
cert_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://tlt.allinpay.com/aipg/ProcessServlet?MERCHANT_ID={0}&REQ_SN={1}
notify_url=https://amp-cb-unionpay.xxingtong.com/allinpay/onePaidNotify"
asset.channel_pay_config,HZF000039,DEF,BAOFUPAY,B-039,DEF,AGREEMENT_PAYMENT,"pay_config_code=B-039
query_key=DEF
member_id=1272447
terminal_id=80590
pub_key=
pub_path=/mnt/server/amp-payment/cert/baofu/fendan/baofu.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/baofu/fendan/fendan_df_1272434.pfx
pri_key_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://public.baofoo.com/cutpayment/protocol/backTransRequest
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/baofu/paynotify
redirect_url=
share_notify_url=
check_file_url=https://public.baofoo.com/boas/api/fileLoadNewRequest
check_file_ip=47.96.226.172
check_remit_member_id=1272434"
asset.mer_channel_config,HZF000039,REMIT,BAOFUPAY,,HZF000039|BAOFUPAY|REMIT,REMIT,"mer_id=HZF000039
channel_code=BAOFUPAY
channel_name=宝付代付(分蛋)
product_type=REMIT
channel_mer_id=1272434
channel_acq_id=80578
pub_key=
pub_path=/mnt/server/amp-payment/cert/baofu/remit/baofu.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/baofu/remit/fendan_df_1272434.pfx
cert_pwd=已配置，脱敏
trans_key=
channel_url=https://public.baofoo.com/baofoo-fopay/pay/
notify_url="
asset.channel_pay_config,HZF000118,DEF,ALLINPAY,A-118,DEF,AGREEMENT_PAYMENT,"pay_config_code=A-118
query_key=DEF
member_id=650290060120Q23
terminal_id=00238764
pub_key=
pub_path=
pri_key=
pri_path=
pri_key_pwd=
trans_key=已配置，脱敏
channel_url=https://vsp.allinpay.com/apiweb
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/allinpay/notify/gimi
redirect_url=
share_notify_url=
check_file_url=
check_file_ip=
check_remit_member_id="
asset.mer_channel_config,HZF000118,REMIT,ALLINPAY,,HZF000118|ALLINPAY|REMIT,REMIT,"mer_id=HZF000118
channel_code=ALLINPAY
channel_name=通联代付(给米)
product_type=REMIT
channel_mer_id=650290073990RQ3
channel_acq_id=650290073990RQ304
pub_key=
pub_path=/mnt/server/amp-payment/cert/allinpay-pds.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/650290073990RQ3.p12
cert_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://tlt.allinpay.com/aipg/ProcessServlet
notify_url=https://amp-cb-unionpay.xxingtong.com/allinpay/onePaidNotify"
asset.channel_pay_config,HZF000118,DEF,BAOFUPAY,B-118,DEF,AGREEMENT_PAYMENT,"pay_config_code=B-118
query_key=DEF
member_id=1256512
terminal_id=64931
pub_key=
pub_path=/mnt/server/amp-payment/cert/baofu/jimi/baofu.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/baofu/jimi/th_private.pfx
pri_key_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://public.baofoo.com/cutpayment/protocol/backTransRequest
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/baofu/paynotify
redirect_url=
share_notify_url=
check_file_url=https://public.baofoo.com/boas/api/fileLoadNewRequest
check_file_ip=47.96.226.172
check_remit_member_id=1256512"
asset.channel_pay_config,HZF000125,DEF,BAOFUPAY,B-125,DEF,AGREEMENT_PAYMENT,"pay_config_code=B-125
query_key=DEF
member_id=1272149
terminal_id=80335
pub_key=
pub_path=/mnt/server/amp-payment/cert/baofu/qiangyun/baofu_public.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/baofu/qiangyun/bfkey_1272149.pfx
pri_key_pwd=已配置，脱敏
trans_key=已配置，脱敏
channel_url=https://public.baofoo.com/cutpayment/protocol/backTransRequest
notify_url=https://amp-cb-unionpay.xxingtong.com/channel/baofu/paynotify
redirect_url=
share_notify_url=
check_file_url=https://public.baofoo.com/boas/api/fileLoadNewRequest
check_file_ip=47.96.226.172
check_remit_member_id=1272146"
asset.mer_channel_config,HZF000125,REMIT,BAOFUPAY,,HZF000125|BAOFUPAY|REMIT,REMIT,"mer_id=HZF000125
channel_code=BAOFUPAY
channel_name=宝付代付(强云)
product_type=REMIT
channel_mer_id=1272146
channel_acq_id=80334
pub_key=
pub_path=/mnt/server/amp-payment/cert/baofu/remit/baofu.cer
pri_key=
pri_path=/mnt/server/amp-payment/cert/baofu/remit/bfkey_1272146.pfx
cert_pwd=已配置，脱敏
trans_key=
channel_url=https://public.baofoo.com/baofoo-fopay/pay/
notify_url="
